ID,Name,Description,Location,Url,Worlds
34,Loop of Prosperity,Metal materials acquired on pickup are doubled,Obtained after defeating a total of 50 Bosses in Survival Mode (Can be done in many runs),https://remnantfromtheashes.wiki.fextralife.com/Loop+of+Prosperity,Any
35,Gift of the Iskal,"Mod power is generated slowly over time, but reduces the wearer's Healing Effectiveness by 25%",Defeat Mar'Gosh,https://remnantfromtheashes.wiki.fextralife.com/Gift+of+the+Iskal,Corsus
36,Hero's Ring,Increases Movement Speed by 25% while sprinting towards a wounded teammate. Revive Speed is increased by 100% and the wearer cannot by staggered while reviving,Can be found at the Fetid Pool dungeon in Corsus. Use the Acid Cleaned Key to head to the second floor and open the second door using another Acid Cleaned Key.,https://remnantfromtheashes.wiki.fextralife.com/Hero's+Ring,Corsus
37,Iskal Hunter Band,Reduces Spread by 35%,Can be acquired in the Hall Of Whispers Dungeon in Corsus by killing the red beetle.,https://remnantfromtheashes.wiki.fextralife.com/Iskal+Hunter+Band,Corsus
38,Gunslinger's Ring,Increases Firearm Swap Speed by 50% and Fire Rate by 5%,Can be found on Earth,https://remnantfromtheashes.wiki.fextralife.com/Gunslinger's+Ring,Earth
39,Soul Link,Summons will steal 5% of the damage dealt and return it to the wearer as health,Can be found in a cave that spawns next to a Cryptolith on Rhom.,https://remnantfromtheashes.wiki.fextralife.com/Soul+Link,Rhom
40,Ring of the Mantis,Increases Fire Rate by 10% and Crit damage by 20% when the wearer stops moving for at least 1.5 seconds,Can be acquired by locating and killing a red beetle in Strange Pass on Corsus.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+the+Mantis,Corsus
41,Ring of Elusion,Perfect Dodging enemy attacks refunds 50 Stamina and reduces Stamina Cost by 100% for 5 seconds.,Can be found at a random location at Rhom,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Elusion,Rhom
42,Band of Castor,"Increase Melee Speed by 10%, but reduces Fire Rate by 15%. While wearing BAND OF POLLUX, Encumbrance is reduced by 15 and Evade Speed is increased by 15%.",Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Band+of+Castor,Earth
43,Band of Pollux,"Increase Melee Damage by 15%, but reduces Range Damage by 20%. While wearing BAND OF CASTOR, Encumbrance is reduced by 15 and Evade Speed is increased by 15%.",Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Band+of+Pollux,Earth
44,Aggressor's Bane,"Reduces incoming damage by 15%, but also increases enemy aggression towards the wearer, and increases enemy Awareness Range by 200%.",Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Aggressor's+Bane,Earth
45,Stockpile Circlet,Increases Max Ammo reserves for all firearms by 50%,Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Stockpile+Circlet,Earth
46,Pearl of Luminescence,Wearer has a 70% chance to double the amount of Lumenite Crystal acquired on pickup when killing Elite enemies,Can be found on Yaesha,https://remnantfromtheashes.wiki.fextralife.com/Pearl+of+Luminescence,Yaesha
47,Ring of Shadows,Enemy alert range reduced by 40%,Can be found on Yasesha,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Shadows,Yaesha
48,Burden of the Reckless,Disables healing from Dragon hearts. Perfect dodgin enemy attacks will regenerate 5% of the wearer's Max Health per second over 5 seconds.,Found as random drop on Rhom,https://remnantfromtheashes.wiki.fextralife.com/Burden+of+the+Reckless,Rhom
49,Spirit Stone,Increases Mod Power generation by 25% and Weapon Mod damage by 10%.,Found at a random location on Yaesha.,https://remnantfromtheashes.wiki.fextralife.com/Spirit+Stone,Yaesha
50,Restriction Cord,Restricts the wearer from Healing above 50% of their Max Health and reduces incoming damage by 15%.,Found at a random location on Yaesha.,https://remnantfromtheashes.wiki.fextralife.com/Restriction+Cord,Yaesha
51,Burden of the Follower,Reduces Fire Rate by 25%. Increases Mod Power generation by 100%.,Found at a random location on Yaesha.,https://remnantfromtheashes.wiki.fextralife.com/Burden+of+the+Follower,Yaesha
52,Burden of the Devoted,All damage dealt by wearer is reduced by 15%. 50% of self healing applies to allies.,Found at a random location on Corsus,https://remnantfromtheashes.wiki.fextralife.com/Burden+of+the+Devoted,Corsus
53,Ring of the Punisher,Increases all dmg dealt by 5% towards enemies for every STATUS effect applied to them.,"Defeat Brudvaak, the Rider and Vargr, the Warg",https://remnantfromtheashes.wiki.fextralife.com/Ring+of+the+Punisher,Resium
54,Black Cat Band,"When taking fatal dmg, wearer's Health will drop to 1 instead of dying. 1 minute cooldown.",Defeat every dungeon boss twice.,https://remnantfromtheashes.wiki.fextralife.com/Black+Cat+Band,Any
55,Bright Steel Ring,Gives wearer the fastest evade roll regardless of their Armor Encumbrance.,Defeat every world boss twice.,https://remnantfromtheashes.wiki.fextralife.com/Bright+Steel+Ring,Any
56,Ring of Flawless Beauty,Ranged Weakspot dmg increased by 40%. Ranged dmg is reduced 20% when failing to shoot a weakspot.,Purchase 100 items.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Flawless+Beauty,Any
57,Scavenger's Ring,"Collecting Scrap, Iron, and Ammo pickups regenerates 3% of Max Health",Bought from Krall Mother for 400 Scrap.,https://remnantfromtheashes.wiki.fextralife.com/Scavenger's+Ring,Resium
57,Band of Discord,Reduces Consumable Use Speed by 15%. Dragon Hearts heal wearer and all teammates wearing this ring with 125 Health over 20s,Bought from Sebum for 400 Scrap.,https://remnantfromtheashes.wiki.fextralife.com/Band+of+Discord,Resium
58,Band of Synergy,Increase Teamwork effect by 10% and Revival speed by 11% per ally also wearing this ring,Bought from Sebum for 400 Scrap.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Synergy,Resium
59,Amber Moonstone,"When wearer's Health drops below 25%, all STATUS effects will be removed, and incoming dmg reduced by 15% for 20s",Give Clementine the Janitor's Watch.,https://remnantfromtheashes.wiki.fextralife.com/Amber+Moonstone,Resium
60,Swashbuckler's Signet,"Every 20s gain buff, stacks up to 3. Melee Charge Attacks consume 1 stack and replenish 15% of the wearer's ammo capacity for both firearms.",Kill only the Emin with the false eye during the Creeper's Peepers event.,https://remnantfromtheashes.wiki.fextralife.com/Swashbuckler's+Signet,Resium
61,Prismatic Diamond Ring,Increases all ELEMENTAL dmg by 10%,Complete the Grave Siege event.,https://remnantfromtheashes.wiki.fextralife.com/Prismatic+Diamond+Ring,Resium
62,Evoker's Seal,Refunds 10% Mod Power on use.,"Destroy all Warning Totems, without alerting any.",https://remnantfromtheashes.wiki.fextralife.com/Evoker's+Seal,Resium
63,Juggernaut Band,"After sprinting 2s, incoming dmg reduced by 10%. Movement Speed increased by 10%, stagger level is reduced by 1, and the wearer will perform the heaviest evade.","Destroy all Warning Totems, alerting some but not all.",https://remnantfromtheashes.wiki.fextralife.com/Juggernaut+Band,Resium
64,Bloodletter's Insignia,BLEEDING effects applied by the wearer steal 10% damage dealt and return it to the wearer as Health.,Found at the end of the Warning Totems dungeon.,https://remnantfromtheashes.wiki.fextralife.com/Bloodletter's+Insignia,Resium
65,Serpent's Fang,Increased Charged Melee Damage by 20%.,Found randomly in Reisum.,https://remnantfromtheashes.wiki.fextralife.com/Serpent's+Fang,Resium
66,Volatile Gem,Dragon Hearts explode dealing 320 dmg plus 10% per gear score and inflict an additional 100% stagger dmg within 5m,Found randomly in Reisum.,https://remnantfromtheashes.wiki.fextralife.com/Volatile+Gem,Resium
67,Burden of the Warlord,Reduces effective range of all firearms by 50% and increases all dmg dealt by 15%.,Found randomly in Reisum.,https://remnantfromtheashes.wiki.fextralife.com/Burden+of+the+Warlord,Resium
68,Ring of Honor,"Increases Health by 10, Stamina by 10, and reduces Armor Encumbrance by 10",Found behind a locked door.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Honor,Ward Prime
69,Alchemist's Jewel,Increase Armor Effectivness by 50% and Armor Encumbrance by 25,Found at a random location on Rural Earth.,https://remnantfromtheashes.wiki.fextralife.com/Alchemist's+Jewel,Rural Earth
70,Backbreaker Ring,Increase Melee Backstab dmg by 30%,Found at a random location on Rural Earth.,https://remnantfromtheashes.wiki.fextralife.com/Backbreaker+Ring,Rural Earth
71,Burden of the Gambler,Disables Weakspot damage bonus. Increases Crit Chance by 15% and Crit Damage by 25%.,Found at a random location on Rural Earth.,https://remnantfromtheashes.wiki.fextralife.com/Burden+of+the+Gambler,Rural Earth
72,Five Fingered Ring,"Increases Unarmed Melee dmg by 50%, Crit Chance by 50%, and Crit dmg by 25%",Found at a random location on Rural Earth.,https://remnantfromtheashes.wiki.fextralife.com/Five+Fingered+Ring,Rural Earth
73,Vanguard Ring,Melee Charge attacks reduce incoming and outgoing dmg by 4% and increase enemy aggression towards wearer for 15s. Stacks 5 times.,Found at a random location on Rural Earth.,https://remnantfromtheashes.wiki.fextralife.com/Vanguard+Ring,Rural Earth
